"Fecha","Casos acumulados a la fecha","Muertes acumuladas a la fecha","nCFR","nCFR_LQ","nCFR_UQ","cCFR","cCFR_LQ","cCFR_UQ","Tasa_de_no_reportados","Cota_inferior_IC","Cota_superior_IC"
2020-03-03,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-04,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-05,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-06,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-09,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-10,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-11,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-12,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-13,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-14,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-26,31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-27,32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-28,37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-29,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-30,54,1,0.0185185185185185,0.000468738403817961,0.0989151595078512,0.0719405802116194,0.00180678065912539,0.338684489931821,0.194605047093279,0.0354312062014285,1
2020-03-31,62,1,0.0161290322580645,0.000408268377457323,0.0866210122069196,0.0641858615939288,0.00158111172276589,0.302320738434532,0.218116570415006,0.0396929435345324,1
