"Fecha","Casos acumulados a la fecha","Muertes acumuladas a la fecha","nCFR","nCFR_LQ","nCFR_UQ","cCFR","cCFR_LQ","cCFR_UQ","Tasa_de_no_reportados","Cota_inferior_IC","Cota_superior_IC"
2020-03-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-09,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-10,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-11,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-13,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-14,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,46,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,73,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,95,1,0.0105263157894737,0.000266467733105388,0.0572569805931357,0.120021365694151,0.00315972353125191,0.526509670875207,0.1166458981618,0.0227916041505043,1
2020-03-26,109,1,0.00917431192660551,0.000232246494352311,0.0500568230848124,0.0862679395331842,0.00210759323186023,0.384796165150944,0.162285086160134,0.0311853419726591,1
2020-03-27,135,2,0.0148148148148148,0.00179920541379383,0.0524905689300874,0.127142571325411,0.0155136038154139,0.383476236849263,0.110112607083965,0.0312926821713778,1
2020-03-28,151,2,0.0132450331125828,0.00160807922859304,0.0470249792965818,0.0961794624606288,0.0117493178844458,0.303774406913924,0.14556122109469,0.0395029986953452,1
2020-03-29,185,2,0.0108108108108108,0.00131193129225563,0.0385047861384693,0.0746937839672196,0.00910007294230628,0.242898346845627,0.187431928822137,0.0494033827559417,1
2020-03-30,201,2,0.00995024875621891,0.00120730101149297,0.0354795875540821,0.059215446433839,0.00720491743904971,0.196773209335576,0.236424798648476,0.0609839115828786,1
2020-03-31,216,2,0.00925925925925926,0.0011233128484624,0.0330455397185905,0.0479432657542137,0.00581982483550999,0.161641959691654,0.292011813958868,0.0742381496913984,1
2020-04-01,240,2,0.00833333333333333,0.00101080340326716,0.0297769774118696,0.0396572872692387,0.00488143342616438,0.137137625603967,0.353024651054725,0.0875033379581339,1
2020-04-02,275,2,0.00727272727272727,0.000881977724217336,0.0260232066607111,0.0333847508518493,0.0040626246420935,0.115281044419252,0.419353137069301,0.104093435832856,1
2020-04-03,302,2,0.00662251655629139,0.000803026119879873,0.0237167626043771,0.0284527580038424,0.00347905707104215,0.0994289300921685,0.492043688633255,0.120689219816368,1
2020-04-04,347,2,0.00576368876080692,0.000698773207627085,0.0206642696764912,0.0244842660616578,0.00296754155142273,0.0853432249550826,0.571795779573066,0.140608700999005,1
2020-04-05,365,2,0.00547945205479452,0.000664277280577608,0.01965250473833,0.0212204399099004,0.00258716111339349,0.0747517659775805,0.6597412711255,0.160531324485351,1
2020-04-06,383,2,0.00522193211488251,0.000633027010507572,0.018735189185719,0.0185468999055058,0.00225059950165783,0.0652965469444737,0.754843131268744,0.183776946278713,1
2020-04-07,410,2,0.0048780487804878,0.000591301238654515,0.0175092713784866,0.0163695237167586,0.00199152452571623,0.0579641779760319,0.855247852181992,0.207024414371269,1
