"Fecha","Casos acumulados a la fecha","Muertes acumuladas a la fecha","nCFR","nCFR_LQ","nCFR_UQ","cCFR","cCFR_LQ","cCFR_UQ","Tasa_de_no_reportados","Cota_inferior_IC","Cota_superior_IC"
2020-03-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-26,44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-27,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-28,71,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-29,80,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-30,108,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-31,115,1,0.00869565217391304,0.000220130619736185,0.0474969468849953,0.0591535585693687,0.00148817439126664,0.286889396667221,0.236672151914282,0.0418279662455405,1
2020-04-01,136,1,0.00735294117647059,0.000186143026062381,0.040285984378248,0.0466686960753513,0.00120488344836351,0.238159909936821,0.299986954368633,0.0503863139819937,1
2020-04-02,156,1,0.00641025641025641,0.000162280472024412,0.0351967007148116,0.0375042365168075,0.000937257091944708,0.189705617413045,0.373291161219237,0.0632559022955683,1
2020-04-03,176,1,0.00568181818181818,0.000143840835643782,0.0312489591844149,0.0306207537708855,0.000766912075048109,0.157593972272497,0.45720624987721,0.0761450442993512,1
2020-04-04,185,1,0.00540540540540541,0.000136843652184451,0.0297474941120461,0.0253794587562101,0.000648963895481946,0.134763921559498,0.551627209015021,0.089044603786645,1
2020-04-05,191,1,0.00523560209424084,0.000132545183615014,0.0288241835827228,0.0213992883577487,0.000538531705342315,0.1129377171464,0.654227363356716,0.10625325447693,1
2020-04-06,198,1,0.00505050505050505,0.000127859542364268,0.0278168933346038,0.0183779228987199,0.000468738403817961,0.0989151595078512,0.761783585509283,0.121316086024686,1
2020-04-07,214,1,0.00467289719626168,0.000118300515887329,0.0257593138532707,0.0160527645610706,0.000408268377457323,0.0866210122069196,0.872123922751054,0.138534515982502,1
2020-04-08,225,2,0.00888888888888889,0.00107830430412084,0.0317390690150502,0.0284184104707239,0.00347905707104215,0.0994289300921685,0.492638390680666,0.120689219816368,1
2020-04-09,230,2,0.00869565217391304,0.00105482410845158,0.0310569271769154,0.0254301666319238,0.00308078078541997,0.0884769927956036,0.550527261682395,0.13562847945931,1
2020-04-10,241,2,0.00829875518672199,0.00100660257489857,0.0296547608368593,0.0229862415170588,0.00279624103849322,0.0805858658367696,0.60905998875937,0.148909487729604,1
