"Fecha","Casos acumulados a la fecha","Muertes acumuladas a la fecha","nCFR","nCFR_LQ","nCFR_UQ","cCFR","cCFR_LQ","cCFR_UQ","Tasa_de_no_reportados","Cota_inferior_IC","Cota_superior_IC"
2020-03-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-26,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-27,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-28,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-29,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-30,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-31,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-02,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-03,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-04,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-05,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-06,41,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-07,53,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-08,63,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-09,75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-10,87,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-11,107,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-12,115,1,0.00869565217391304,0.000220130619736185,0.0474969468849953,0.0527105140390826,0.00133162880417942,0.260280654195214,0.265601659464364,0.0461040796024734,1
2020-04-13,115,1,0.00869565217391304,0.000220130619736185,0.0474969468849953,0.0425181081586656,0.00105435244546975,0.211201683456973,0.329271470587448,0.056817728928968,1
2020-04-14,120,1,0.00833333333333333,0.000210959478121709,0.045555513233593,0.0352416622430961,0.000903798755658059,0.183477597544624,0.397257084624112,0.0654030800522199,1
2020-04-15,124,1,0.00806451612903226,0.000204155028366465,0.0441130038852008,0.0299581784033279,0.000766912075048109,0.157593972272497,0.467318133015885,0.0761450442993512,1
2020-04-16,129,1,0.00775193798449612,0.000196242819255985,0.0424334250652992,0.0260131534697682,0.000666036204202366,0.13809902979242,0.538189267067156,0.0868941658608137,1
2020-04-17,134,2,0.0149253731343284,0.00181267058906039,0.0528746532043398,0.0459591172503981,0.00555295199537049,0.154731577658989,0.304618557482819,0.0775536589334507,1
